iter	Passed	Remaining
0	57	57195
1	58	28977
2	58	19518
3	59	14744
4	59	11888
5	60	9987
6	60	8605
7	61	7602
8	61	6789
9	62	6155
10	62	5625
11	63	5206
12	63	4839
13	64	4515
14	64	4240
15	64	3992
16	65	3784
17	72	3946
18	73	3769
19	73	3600
20	74	3480
21	75	3338
22	75	3209
23	75	3084
24	76	2976
25	76	2882
26	77	2797
27	78	2710
28	78	2633
29	78	2553
30	79	2477
31	79	2412
32	80	2345
33	80	2282
34	80	2224
35	81	2169
36	81	2119
37	82	2076
38	82	2034
39	83	1995
40	83	1955
41	83	1915
42	84	1885
43	85	1853
44	86	1830
45	86	1798
46	87	1771
47	87	1741
48	88	1711
49	88	1681
50	88	1653
51	89	1627
52	89	1601
53	90	1582
54	91	1565
55	91	1550
56	92	1529
57	92	1508
58	93	1487
59	93	1465
60	93	1444
61	94	1427
62	95	1415
63	95	1398
64	96	1382
65	96	1364
66	96	1347
67	97	1331
68	97	1319
69	98	1305
70	98	1293
71	99	1278
72	99	1263
73	99	1250
74	100	1236
75	100	1223
76	100	1210
77	101	1199
78	101	1187
79	102	1177
80	102	1165
81	103	1158
82	103	1144
83	103	1132
84	104	1123
85	105	1118
86	105	1107
87	106	1100
88	106	1090
89	106	1080
90	107	1072
91	107	1063
92	108	1058
93	108	1049
94	109	1040
95	109	1032
96	110	1025
97	110	1019
98	111	1013
99	111	1006
100	112	998
101	112	994
102	113	986
103	113	978
104	114	974
105	114	969
106	115	962
107	115	956
108	116	949
109	116	946
110	117	939
111	117	934
112	118	929
113	119	928
114	120	925
115	120	921
116	121	914
117	121	908
118	121	902
119	122	898
120	122	893
121	123	886
122	123	881
123	124	881
124	125	876
125	125	872
126	126	868
127	127	865
128	127	861
129	128	857
130	128	852
131	129	848
132	129	845
133	130	842
134	130	838
135	131	833
136	131	829
137	132	824
138	132	821
139	133	819
140	133	815
141	134	811
142	134	808
143	135	804
144	135	800
145	136	796
146	136	793
147	137	789
148	137	786
149	138	783
150	138	780
151	139	777
152	140	775
153	140	774
154	141	770
155	141	767
156	142	763
157	142	760
158	143	757
159	143	753
160	143	749
161	144	746
162	144	742
163	144	739
164	145	735
165	145	731
166	146	729
167	146	725
168	147	724
169	147	722
170	148	719
171	148	716
172	149	713
173	149	709
174	150	709
175	151	707
176	151	704
177	152	703
178	152	701
179	153	698
180	153	695
181	154	692
182	154	688
183	154	685
184	154	682
185	155	680
186	155	677
187	156	677
188	157	675
189	158	674
190	158	672
191	159	670
192	159	668
193	160	667
194	161	664
195	161	662
196	161	660
197	162	657
198	162	654
199	162	651
200	163	649
201	164	648
202	164	647
203	165	645
204	166	643
205	166	642
206	166	639
207	167	639
208	168	637
209	168	635
210	169	634
211	170	632
212	170	629
213	171	630
214	172	628
215	172	627
216	173	625
217	173	623
218	174	621
219	174	619
220	175	617
221	175	615
222	176	613
223	176	611
224	176	609
225	177	607
226	177	604
227	178	602
228	178	600
229	179	599
230	179	598
231	180	595
232	180	594
233	181	592
234	181	590
235	182	589
236	182	587
237	182	585
238	183	584
239	184	583
240	184	582
241	185	580
242	185	578
243	186	576
244	186	575
245	186	573
246	187	571
247	187	569
248	188	568
249	188	566
250	189	564
251	189	563
252	190	561
253	190	559
254	190	557
255	191	556
256	191	554
257	192	552
258	192	550
259	192	548
260	193	547
261	193	545
262	193	543
263	194	541
264	194	539
265	195	539
266	195	537
267	196	536
268	196	534
269	197	533
270	197	531
271	198	531
272	198	529
273	199	528
274	199	527
275	200	525
276	200	523
277	200	521
